phone,test,role,proto,link,mean_power_w,baseline_power_w,delta_power_w,throughput_MBps,energy_per_mb_j,duration_s,tte_equiv_h
Mega,smartphoneServerUdpRouter,server,udp,router,3.177496500000001,1.4051515050167231,1.772344994983278,0.132414772727273,13.384798074106683,119.8,4.657754933797722
Mega,smartphoneClientUdpRouter,client,udp,router,3.1475826377295477,1.4051515050167231,1.7424311327128246,0.1312360335195533,13.277078603973605,119.8,4.702021107434915
Mini,smartphoneClientUdpRouter,client,udp,router,4.121402166666671,1.3207612040133785,2.8006409626532927,2.4903314917127077,1.1246056888302736,119.8,3.591010874818368
Note 3,smartphoneClientTcpRouter,client,tcp,router,5.0854193656093445,1.887714046822743,3.1977053187866016,3.175,1.0071512815075911,119.8,2.910281126486141
Mega,smartphoneClientTcpRouter,client,tcp,router,3.5251801335559265,1.4051515050167231,2.1200286285392034,2.3375,0.9069641191611566,119.8,4.198367016516378
Mini,smartphoneClientTcpRouter,client,tcp,router,4.1004165275459075,1.3207612040133785,2.7796553235325288,3.3125,0.8391412297456691,119.8,3.609389412167299
Note 3,smartphoneServerTcpRouter,server,tcp,router,4.500196828046743,1.887714046822743,2.612482781224,3.2875,0.7946715684331559,119.8,3.288745040608316
Note 3,smartphoneClientTcpDirect,client,tcp,direct,6.015519699499161,1.887714046822743,4.127805652676418,5.3375,0.7733593728667761,119.8,2.4603028066273667
Note 3,smartphoneClientUdpRouter,client,udp,router,4.574386477462438,1.887714046822743,2.686672430639695,3.6361878453038674,0.7388706373103165,119.8,3.2354065562492753
Note 4,smartphoneServerTcpRouter,server,tcp,router,3.482661769616027,1.3903802675585288,2.0922815020574985,3.3375,0.6269008245865164,119.8,4.249623127092167
Mini,smartphoneServerTcpRouter,server,tcp,router,3.674677629382304,1.3207612040133785,2.353916425368925,3.7875,0.6214960859059867,119.8,4.027564181864794
Note 4,smartphoneClientTcpRouter,client,tcp,router,4.260006844741233,1.3903802675585288,2.8696265771827045,4.725,0.6073283761233238,119.8,3.474172821639915
Note 3,smartphoneClientUdpDirect,client,udp,direct,5.466472454090146,1.887714046822743,3.5787584072674035,5.9274171270718226,0.60376355004989,119.8,2.707413258604511
Mega,smartphoneServerTcpRouter,server,tcp,router,3.3295699499165266,1.4051515050167231,1.9244184448998032,3.35,0.5744532671342697,119.8,4.445018492664809
Note 4,smartphoneClientUdpRouter,client,udp,router,4.256428046744575,1.3903802675585288,2.8660477791860464,5.269044502617801,0.5439407045740681,119.8,3.4770939006755723
Note 4,smartphoneServerUdpRouter,server,udp,router,3.630217820050075,1.3903802675585288,2.2398375524915464,4.4470994475138115,0.5036625735329006,119.8952,4.076890350286432
Mini,smartphoneServerUdpRouter,server,udp,router,3.5247385642737883,1.3207612040133785,2.20397736026041,4.459806629834251,0.4941867536401059,119.8,4.19889297606652
Note 3,smartphoneServerUdpRouter,server,udp,router,3.749065275459101,1.887714046822743,1.8613512286363585,3.8089088397790056,0.4886835854922573,119.8,3.9476506575862778
Note 3,smartphoneServerTcpDirect,server,tcp,direct,4.397307512520868,1.887714046822743,2.509593465698125,5.175,0.4849455972363527,119.8,3.365695930488956
Mega,smartphoneServerUdpDirect,server,udp,direct,3.1543724540901503,1.4051515050167231,1.7492209490734272,3.7875,0.4618405146068454,119.8,4.6918999627990745
Mini,smartphoneClientTcpDirect,client,tcp,direct,3.702029549248749,1.3207612040133785,2.3812683452353705,5.375,0.4430266688809992,119.8,3.997807095570957
Mega,smartphoneClientTcpDirect,client,tcp,direct,3.760465833333333,1.4051515050167231,2.35531432831661,5.325,0.4423125499186121,119.8,3.935682613789648
Note 4,smartphoneClientTcpDirect,client,tcp,direct,5.375932554257092,1.3903802675585288,3.985552286698564,9.8625,0.4041117654447212,119.8,2.753010728953469
Mini,smartphoneClientUdpDirect,client,udp,direct,3.734288480801333,1.3207612040133785,2.4135272767879536,6.182790055248616,0.390362159352167,119.8,3.9632717386697727
Mini,smartphoneServerTcpDirect,server,tcp,direct,3.409427045075124,1.3207612040133785,2.088665841061746,5.3875,0.3876873950926673,119.8,4.340905320551856
Note 4,smartphoneClientUdpDirect,client,udp,direct,5.186716360600999,1.3903802675585288,3.7963360930424703,10.0939226519337,0.3761011674004857,119.8,2.853443097915052
Mini,smartphoneServerUdpDirect,server,udp,direct,3.2113856427378957,1.3207612040133785,1.8906244387245172,5.2456698895027625,0.3604162058515904,119.8,4.608602530645347
Note 3,smartphoneServerUdpDirect,server,udp,direct,3.906926043405675,1.887714046822743,2.019211996582932,5.840262430939227,0.345739942418684,119.8,3.7881443967899666
Mega,smartphoneClientUdpDirect,client,udp,direct,3.619154257095165,1.4051515050167231,2.214002752078442,6.500441176470592,0.3405926908611044,119.8,4.089353188244288
Mega,smartphoneServerTcpDirect,server,tcp,direct,3.1593926544240407,1.4051515050167231,1.7542411494073176,5.5,0.3189529362558759,119.8,4.684444644535027
Note 4,smartphoneServerTcpDirect,server,tcp,direct,3.996828547579299,1.3903802675585288,2.6064482800207704,10.2375,0.2545981225905514,119.8,3.702935921272805
Note 4,smartphoneServerUdpDirect,server,udp,direct,3.655809849749583,1.3903802675585288,2.2654295821910537,10.60766574585636,0.2135653249703868,119.8,4.048350600350228
